deutscher Name;wissenschaftlicher Name;Kategorie;;

HÜHNERVÖGEL;ORDNUNG GALLIFORMES;;;
Fasanverwandte;Familie Phasianidae;;;
Haselhuhn;Tetrastes bonasia;A;;
Auerhuhn;Tetrao urogallus;A;;
Birkhuhn;Lyrurus tetrix;A;;
Alpenschneehuhn;Lagopus muta;A;;
Steinhuhn;Alectoris graeca;A;;
Rebhuhn;Perdix perdix;A;;
Wachtel;Coturnix coturnix;A;;
Jagdfasan;Phasianus colchicus;C1;;

ENTENVÖGEL;ORDNUNG ANSERIFORMES;;;
Entenverwandte;Familie Anatidae;;;
Ringelgans;Branta bernicla;A;;
Rothalsgans;Branta ruficollis;A;;
Kanadagans;Branta canadensis;C1;;
Weißwangengans;Branta leucopsis;A;;
Streifengans;Anser indicus;C5;;
Graugans;Anser anser;A;;
Waldsaatgans;Anser fabalis;A;;
Kurzschnabelgans;Anser brachyrhynchus;A;;
Tundrasaatgans;Anser serrirostris;A;;
Blässgans;Anser albifrons;A;;
Zwerggans;Anser erythropus;A;;
Höckerschwan;Cygnus olor;A;;
Zwergschwan;Cygnus columbianus;A;;
Singschwan;Cygnus cygnus;A;;
Nilgans;Alopochen aegyptiaca;C1;;
Brandgans;Tadorna tadorna;A;;
Rostgans;Tadorna ferruginea;BC1;;
Mandarinente;Aix galericulata;C1;;
Knäkente;Spatula querquedula;A;;
Blauflügelente;Spatula discors;A;;
Löffelente;Spatula clypeata;A;;
Schnatterente;Mareca strepera;A;;
Pfeifente;Mareca penelope;A;;
Kanadapfeifente;Mareca americana;A;;
Stockente;Anas platyrhynchos;A;;
Spießente;Anas acuta;A;;
Krickente;Anas crecca;A;;
Carolinakrickente;Anas carolinensis;A;;
Marmelente;Marmaronetta angustirostris;BE;;
Kolbenente;Netta rufina;A;;
Tafelente;Aythya ferina;A;;
Moorente;Aythya nyroca;A;;
Ringschnabelente;Aythya collaris;A;;
Reiherente;Aythya fuligula;A;;
Bergente;Aythya marila;A;;
Kanadabergente;Aythya affinis;A;;
Scheckente;Polysticta stelleri;A;;
Prachteiderente;Somateria spectabilis;A;;
Eiderente;Somateria mollissima;A;;
Kragenente;Histrionicus histrionicus;BD;;
Brillenente;Melanitta perspicillata;A;;
Samtente;Melanitta fusca;A;;
Kamtschatkasamtente;Melanitta stejnegeri;A;;
Trauerente;Melanitta nigra;A;;
Pazifiktrauerente;Melanitta americana;A;;
Eisente;Clangula hyemalis;A;;
Schellente;Bucephala clangula;A;;
Spatelente;Bucephala islandica;BE;;
Zwergsäger;Mergellus albellus;A;;
Gänsesäger;Mergus merganser;A;;
Mittelsäger;Mergus serrator;A;;
Schwarzkopf-Ruderente;Oxyura jamaicensis;C5;;
Weißkopf-Ruderente;Oxyura leucocephala;BD;;

NACHTSCHWALBENVÖGEL;ORDNUNG CAPRIMULGIFORMES;;;
Nachtschwalben;Familie Caprimulgidae;;;
Nachtschwalbe;Caprimulgus europaeus;A;;
Pharaonennachtschwalbe;Caprimulgus aegyptius;B;;

SEGLERVÖGEL;ORDNUNG APODIFORMES;;;
Segler;Familie Apodidae;;;
Alpensegler;Tachymarptis melba;A;;
Mauersegler;Apus apus;A;;
Fahlsegler;Apus pallidus;A;;
Pazifiksegler;Apus pacificus;A;;
Haussegler;Apus affinis;A;;

TRAPPEN;ORDNUNG OTIDIFORMES;;;
Trappen;Familie Otididae;;;
Großtrappe;Otis tarda;A;;
Steppenkragentrappe;Chlamydotis macqueenii;A;;
Zwergtrappe;Tetrax tetrax;A;;

KUCKUCKE;ORDNUNG CUCULIFORMES;;;
Kuckucke;Familie Cuculidae;;;
Häherkuckuck;Clamator glandarius;A;;
Schwarzschnabelkuckuck;Coccyzus erythropthalmus;A;;
Kuckuck;Cuculus canorus;A;;

FLUGHÜHNER;ORDNUNG PTEROCLIFORMES;;;
Flughühner;Familie Pteroclidae;;;
Steppenflughuhn;Syrrhaptes paradoxus;A;;
Sandflughuhn;Pterocles orientalis;B;;

TAUBEN;ORDNUNG COLUMBIFORMES;;;
Tauben;Familie Columbidae;;;
Straßentaube;Columba livia f. domestica;C4;;
Hohltaube;Columba oenas;A;;
Ringeltaube;Columba palumbus;A;;
